radius,temp,h2o,h2,o2,o2_safe,phi,dphi_dr,eta_local,dT_dr
0.0398024,2036.33,0.197923,9.26272e-05,0.0489565,0.0489565,0.015015155478843464,-1.5412921454847899,99.99073727999999,-7772.755848602159
0.041125,2025.75,0.196167,8.50164e-05,0.0506919,0.0506919,0.013309624425204027,-1.2336989143083819,99.99149836,-8279.004284842173
0.0426492,2012.64,0.19397,7.67808e-05,0.05286,0.05286,0.011527287718501701,-1.16305996046624,99.99232192000001,-8879.071548598004
0.0443259,1997.24,0.191361,6.69811e-05,0.0554357,0.0554357,0.009588803056514123,-1.1189595533064396,99.99330189,-9357.450464274618
0.046048,1980.82,0.188608,5.66264e-05,0.0581536,0.0581536,0.007727588840587684,-1.0238490045996638,99.99433736,-9791.770919627626
0.0480576,1960.54,0.185258,4.49407e-05,0.0614534,0.0614534,0.00580357466307804,-0.8248838565983769,99.99550593,-10438.28933015361
0.0503005,1936.26,0.181348,3.52458e-05,0.0652737,0.0652737,0.004285197082439023,-0.5586502637990818,99.99647542,-11264.915353712626
0.0520485,1915.97,0.178151,2.98961e-05,0.068376,0.068376,0.00346986442026442,-0.4538931584512944,99.99701039,-11866.099602551898
0.0535792,1897.46,0.175249,2.50457e-05,0.0711925,0.0711925,0.002791904697826316,-0.43392180569300765,99.99749543,-12334.51173406525
0.0549676,1880.03,0.172522,2.04769e-05,0.0738401,0.0738401,0.002200764603514892,-0.40062499865076395,99.99795231,-12865.769366193796
0.0562531,1863.12,0.169888,1.65146e-05,0.076389,0.076389,0.00171569029048685,-0.3205931780737181,99.99834854000001,-13605.457141081104
0.0574322,1846.59,0.167342,1.38973e-05,0.0788311,0.0788311,0.0013990540890587598,-0.22932853498751127,99.99861027,-14386.733355539152
0.0585559,1830.03,0.16481,1.21145e-05,0.0812445,0.0812445,0.0011833499129171822,-0.19064230159448559,99.99878855,-15248.573595651076
0.0598454,1809.61,0.161644,9.97496e-06,0.0842621,0.0842621,0.0009394648668855867,-0.18380384278873407,99.999002504,-16127.628144681454
0.0598516,1809.51,0.161629,9.9646e-06,0.0842768,0.0842768,0.0009383254418772425,-0.1837537205205136,99.99900354,-16129.574379183548
0.0617363,1778.8,0.156891,6.78071e-06,0.0887916,0.0887916,0.000606045105167606,-0.15246079567386406,99.99932192899999,-16712.82063876395
0.063245,1753.08,0.152973,4.71886e-06,0.0925067,0.0925067,0.000404823358308101,-0.10847561395689806,99.999528114,-17545.34896422911
0.0645327,1729.94,0.149482,3.53083e-06,0.0957956,0.0957956,0.0002925047380046683,-0.07728056445947928,99.99964691699999,-18450.10544928047
0.0656194,1709.45,0.146389,2.70685e-06,0.0987009,0.0987009,0.00021764301642639535,-0.06003859305136937,99.999729315,-19247.968194938498
0.0665,1692.22,0.143805,2.18e-06,0.10112,0.10112,0.0001710886075949367,-0.048083626320605526,99.99978200000001,-19767.766700872162
0.0679395,1663.29,0.139519,1.49851e-06,0.105122,0.105122,0.00011312736972279828,-0.034684140057264945,99.999850149,-20700.924345115083
0.0690927,1638.86,0.135914,1.07008e-06,0.108477,0.108477,7.82853036127474e-05,-0.02610602994325927,99.999892992,-21818.14812662988
0.0702194,1613.58,0.132187,7.53107e-07,0.111937,0.111937,5.3393043872892795e-05,-0.01940342805006287,99.9999246893,-23240.756284840638
0.0715107,1582.38,0.127574,4.73236e-07,0.116208,0.116208,3.2317920418559826e-05,-0.012988587589865819,99.9999526764,-24497.205526366364
0.0720703,1568.59,0.125549,3.84733e-07,0.118079,0.118079,2.5857613021790495e-05,-0.01077007716682301,99.9999615267,-25201.094093529682
0.0735,1530.52,0.119933,2.06392e-07,0.12326,0.12326,1.328838968035048e-05,-0.006750899978538747,99.9999793608,-28348.36592946842
0.0744563,1502.31,0.115747,1.30344e-07,0.127112,0.127112,8.137783875637233e-06,-0.00449107047337764,99.9999869656,-30137.99981740443
0.0757083,1463.53,0.110059,6.63991e-08,0.132337,0.132337,3.98182864656143e-06,-0.0024836741466034516,99.99999336009,-31565.200549676083
0.0772362,1414.2,0.102999,3.05296e-08,0.138811,0.138811,1.7454157494723042e-06,-0.0010668538241144741,99.99999694704,-32873.13994572696
0.0790544,1353.16,0.0945243,1.22699e-08,0.146573,0.146573,6.643374045697366e-07,-0.00042973851116682386,99.99999877301,-34299.69575269334
0.0812173,1277.1,0.0844052,3.1222e-09,0.155832,0.155832,1.5900315211253146e-07,-0.00014322225330620506,99.99999968777999,-35465.98271744119
0.0838325,1183.4,0.0724168,1.47855e-09,0.166795,0.166795,7.034846847927095e-08,-2.6721200247612194e-05,99.99999985214501,-36185.8246543461
0.0870624,1065.1,0.0582244,2.87182e-10,0.179772,0.179772,1.267759357408273e-08,-1.1278450168710791e-05,99.99999997128181,-36564.50211366535
0.0910459,919.75,0.0421376,1.5084e-12,0.194479,0.194479,6.155246787570893e-11,-1.6812273694368417e-06,99.99999999984917,-35855.773319599364
0.0955213,762.46,0.0263976,2.18159e-13,0.208868,0.208868,8.289014229082482e-12,-6.925515155687693e-09,99.99999999997819,-34424.25600426999
0.100134,607.1,0.0125477,7.40314e-19,0.221529,0.221529,2.6520825282468663e-17,-9.225095288327454e-10,100.0,-29573.361934414716
0.105,484.281,0.00311396,0.0,0.230153,0.230153,0.0,-2.898925310624289e-15,100.0,-18244.64647244715
0.110529,427.355,0.0,0.0,0.233,0.233,0.0,0.0,100.0,-3759.651394524655
0.116357,445.597,0.0,0.0,0.233,0.233,0.0,0.0,100.0,24800.25328423996
0.1225,738.26,0.0,0.0,0.233,0.233,0.0,,100.0,
,,,,,,,,,
,,,,,,,,,
