radius,temp,h2o,h2,o2,o2_safe,phi,dphi_dr,eta_local,dT_dr
0.00137489,2130.67,0.249365,0.0173149,0.00039035,0.00039035,352.02010093505834,-9020.702721543668,98.26850999999999,0.0
0.00143423,2130.67,0.249365,0.017312,0.000390879,0.000390879,351.48481243556193,-9176.340639227039,98.2688,5.15037104271687
0.00414132,2131.32,0.249345,0.017051,0.000440165,0.000440165,307.4227528313246,-22569.12771768775,98.2949,491.1791745573282
0.00418173,2131.34,0.249345,0.0170452,0.00044133,0.00044133,306.5069385720436,-22717.11246785326,98.29548,495.10717021453274
0.00690235,2132.72,0.249286,0.0164984,0.000557625,0.000557625,234.801707957857,-28695.039497880265,98.35016,514.0898281633854
0.0069218,2132.73,0.249285,0.0164934,0.000558785,0.000558785,234.2432642250597,-28704.731185158747,98.35066,516.1063507951085
0.00964909,2134.89,0.249148,0.015595,0.000780118,0.000780118,158.6451280447317,-24170.92221925594,98.4405,861.0325516462326
0.0096607,2134.9,0.249147,0.0155904,0.000781269,0.000781269,158.36467900300667,-24134.3296047333,98.44096,862.9009090064133
0.0123554,2138.21,0.248992,0.0142757,0.00106109,0.00106109,106.76941183123016,-10998.781589763938,98.57243,1743.8874474540353
0.0124237,2138.33,0.248992,0.0142366,0.00106554,0.00106554,106.03230061752726,-10589.95223563106,98.57634,1774.95114622423
0.0150313,2144.75,0.249328,0.012481,0.00100498,0.00100498,98.55839519194413,6385.585167781974,98.7519,2566.60911097005
0.0152139,2145.22,0.24938,0.0123424,0.000981036,0.000981036,99.84270342780488,8711.794381458592,98.76576,2481.483630413146
0.0176999,2148.26,0.250371,0.0102123,0.00045453,0.00045453,178.30465051811763,-1907.2022523113992,98.97877000000001,-1285.6404169695452
0.0180481,2147.69,0.250429,0.00987689,0.000445337,0.000445337,176.00827921326993,-14036.85948233304,99.012311,-2298.1835272927274
0.0203912,2131.88,0.248512,0.0073559,0.00226429,0.00226429,25.781336489583932,-27778.032271390526,99.26441,-13701.963148473762
0.0209392,2123.48,0.247078,0.00674812,0.00351951,0.00351951,15.216061417640523,-16536.64303000285,99.325188,-17302.841731360008
0.0231,2069.27,0.236895,0.00447242,0.0124319,0.0124319,2.8550040717830747,-2749.787849027828,99.552758,-39826.389708635164
0.0240602,2024.74,0.228913,0.00367726,0.019688,0.019688,1.482260024380333,-1083.490173080601,99.632274,-51048.697331264266
0.0254123,1946.82,0.215347,0.00274156,0.0321691,0.0321691,0.6763328834191817,-433.21958961965464,99.725844,-70658.92263526784
0.0271234,1797.7,0.19186,0.00197795,0.054568,0.054568,0.2876596393490691,-170.42763753502948,99.802205,-80544.45036551595
0.028875,1668.46,0.171064,0.000856965,0.074865,0.074865,0.09084183850931678,-86.45843074796385,99.9143035,-78918.19214360835
0.0302017,1558.6,0.153354,2.51562e-05,0.0920087,0.0920087,0.0021697905002461726,-37.38699606038076,99.99748438,-111678.81067914423
0.0319384,1299.01,0.116697,6.65743e-05,0.126077,0.126077,0.004190563265306123,2.0646333031556203,99.99334257,-113604.39846838871
0.0322639,1264.22,0.111867,8.08927e-05,0.130545,0.130545,0.004917572233329504,2.5092744063255763,99.99191073,-98581.65597478484
0.0350023,1185.48,0.102733,0.00031709,0.138708,0.138708,0.018141896934567584,31.051587036897512,99.968291,42923.697681633144
0.0377403,1499.23,0.151193,0.0020512,0.0930469,0.0930469,0.17494750711737841,118.90078267477497,99.79487999999999,108936.0807273779
0.0380645,1534.33,0.156847,0.00238543,0.0876989,0.0876989,0.2158610025895422,141.07047215594838,99.761457,108042.53089388635
0.0398023,1720.0,0.186854,0.00448226,0.05933,0.05933,0.5995485481206809,325.77654036658214,99.55177400000001,88846.38894904184
0.041125,1819.4,0.202685,0.00634321,0.0443073,0.0443073,1.1361494507677066,535.82985300548,99.365679,65446.02335569769
0.0426492,1902.11,0.216229,0.00862732,0.0313858,0.0313858,2.181445479165738,930.0280746400902,99.137268,46910.32057878381
0.0443259,1967.2,0.22694,0.011144,0.0211006,0.0211006,4.19129238031146,1569.5704391246666,98.8856,33571.565695297555
0.046048,2015.73,0.234183,0.0134127,0.014098,0.014098,7.550233167825224,2384.8567304347735,98.65873,24751.7792317181
