radius,temp,h2o,h2,o2,o2_safe,phi,dphi_dr,eta_local,dT_dr
0.00137489,2205.7,0.246692,0.00227911,0.00263301,0.00263301,6.869330902655136,-133.40605569489117,99.772089,337.04078193430655
0.00143423,2205.72,0.246689,0.00227823,0.00263503,0.00263503,6.861414587310201,-134.33775949867606,99.772177,340.11203911429766
0.00414131,2207.02,0.24651,0.0022224,0.00276325,0.00276325,6.382689369401971,-228.2010635926854,99.77776,494.5900235772133
0.00418173,2207.04,0.246507,0.00222137,0.00276598,0.00276598,6.373434486149574,-229.45771368652504,99.777863,493.3184943061169
0.00690234,2208.11,0.246187,0.00214275,0.00300467,0.00300467,5.659478079123498,-297.97561071411474,99.785725,513.0182511210442
0.0069218,2208.12,0.246184,0.00214212,0.00300687,0.00300687,5.653674525336979,-298.2740657421411,99.785788,512.0263753243034
0.00964909,2208.81,0.245717,0.00204431,0.00336359,0.00336359,4.823312044571426,-300.3102851790609,99.795569,859.4893736243248
0.00966069,2208.82,0.245715,0.00204386,0.00336528,0.00336528,4.819828650216327,-300.2870431949623,99.795614,859.0737733041619
0.0123554,2209.26,0.245138,0.00192609,0.00380791,0.00380791,4.014131174318721,-288.7952415507825,99.807391,146.8299007229507
0.0124237,2209.27,0.245122,0.00192283,0.00382022,0.00382022,3.994424111700373,-288.28814496935917,99.807717,145.41663206870362
0.0150312,2209.55,0.244448,0.00178582,0.00433739,0.00433739,3.267464424458027,-266.5838576427086,99.821418,109.33245106972754
0.0152139,2209.57,0.244396,0.00177534,0.00437697,0.00437697,3.2189158801636752,-264.8607309020424,99.82246599999999,108.30881757647876
0.0176998,2209.8,0.243631,0.00161991,0.00496386,0.00496386,2.5898405192733076,-242.300328005369,99.838009,61.73527317773551
0.0180481,2209.82,0.243512,0.00159661,0.0050562,0.0050562,2.5059722637553894,-239.5815382572821,99.840339,32.869017112170695
0.0203912,2209.51,0.242573,0.00143579,0.00580251,0.00580251,1.963706988872057,-222.0490208489132,99.856421,-394.8864020444453
0.0209391,2209.26,0.242307,0.00139856,0.00602142,0.00602142,1.8432482969133526,-215.6154942972455,99.86014399999999,-512.8335724243661
0.0230999,2207.67,0.241098,0.00125334,0.00703691,0.00703691,1.4134764037056036,-187.0228007436997,99.874666,-990.6006742690224
0.0240602,2206.61,0.24044,0.00118693,0.00760282,0.00760282,1.2389450861653966,-170.90525144414454,99.88130699999999,-1161.4172664448852
0.0254123,2204.93,0.239471,0.00109409,0.00844207,0.00844207,1.028503464197762,-146.33426364881947,99.890591,-1465.3761020645034
0.0271234,2201.94,0.238021,0.000978533,0.00972817,0.00972817,0.7982629711446243,-120.66093185100519,99.9021467,-2023.6689655189402
