radius,temp,h2o,h2,o2,o2_safe,phi,dphi_dr,eta_local,dT_dr
0.00137489,2042.43,0.192061,6.87407e-05,0.0547681,0.0547681,0.00996065584163044,-0.015216678813834117,99.99312593,-168.52039096715328
0.00143423,2042.42,0.19206,6.87361e-05,0.0547694,0.0547694,0.009959752883909627,-0.014302977341122916,99.99312639,-166.49035051334613
0.0041413,2042.22,0.19216,6.91222e-05,0.0546702,0.0546702,0.010033871820479894,0.039522785793764115,99.99308778,-1.0869027748703957
0.00418172,2042.22,0.192162,6.91306e-05,0.0546681,0.0546681,0.010035476660063181,0.03929942014741696,99.99308694,-5.757615662194439
0.00690233,2041.15,0.192203,6.93045e-05,0.054627,0.054627,0.010068290625514854,-0.035260877344171604,99.99306955,-513.0182511359453
0.00692179,2041.14,0.192202,6.9301e-05,0.054628,0.054628,0.010067597861902321,-0.03589076280934725,99.9930699,-517.7933143379141
0.00964908,2038.23,0.191907,6.8222e-05,0.054919,0.054919,0.009858333035925634,-0.10857352711468593,99.9931778,-1724.3247050344944
0.00966066,2038.21,0.191905,6.82154e-05,0.0549207,0.0549207,0.00985707418878492,-0.10886263889292899,99.99317846,-1726.8233473136233
0.0123554,2033.74,0.19135,6.617e-05,0.0554678,0.0554678,0.009467206559481356,-0.17003866648448707,99.99338300000001,-1900.0522828996181
0.0124236,2033.61,0.191333,6.61083e-05,0.0554843,0.0554843,0.009455566147540836,-0.17143878615129665,99.99338917,-1913.8752545940843
0.0150312,2027.85,0.190573,6.32978e-05,0.0562337,0.0562337,0.008932923510279423,-0.22366505975630702,99.99367022,-2498.8644495550543
0.0152138,2027.39,0.190512,6.30733e-05,0.0562935,0.0562935,0.008891785175908409,-0.22713531121526098,99.99369267,-2535.8844419829184
0.0176998,2020.52,0.189573,5.95906e-05,0.0572203,0.0572203,0.008264741736761253,-0.2743462273129147,99.99404093999999,-3008.9599311864004
0.0180481,2019.46,0.189425,5.90435e-05,0.0573657,0.0573657,0.008168107701989167,-0.28085861413279606,99.99409565,-3083.0911869764386
0.0203911,2011.61,0.188317,5.49253e-05,0.0584593,0.0584593,0.00745625043064149,-0.3299471024211247,99.99450747,-3622.493266407866
0.0209391,2009.59,0.188023,5.3834e-05,0.0587488,0.0587488,0.0072720910724985025,-0.3412906188488476,99.9946166,-3752.1372721045336
0.0230999,2000.92,0.186745,4.90757e-05,0.0600096,0.0600096,0.006490040846797846,-0.3774773577556658,99.99509243,-4342.127590084914
0.0240601,1996.61,0.186096,4.6778e-05,0.0606491,0.0606491,0.006120951638194136,-0.3828945449930541,99.9953222,-4565.704337198054
0.0254122,1990.29,0.185143,4.35062e-05,0.0615876,0.0615876,0.005606083094648923,-0.36188438189619365,99.99564937999999,-4870.629395781434
0.0271234,1981.53,0.183827,3.98344e-05,0.0628759,0.0628759,0.005027773732065864,-0.3107977660039649,99.99601656,-5342.989925321774
0.028875,1971.77,0.182371,3.67167e-05,0.0642937,0.0642937,0.004532072834507892,-0.26533438773637275,99.99632833,-5802.606804291601
0.0302017,1963.84,0.181191,3.46148e-05,0.0654397,0.0654397,0.004197804280887595,-0.2434262442326648,99.99653852,-6089.60529344395
0.0319382,1953.01,0.179616,3.20196e-05,0.0669677,0.0669677,0.003794479213113187,-0.23307597193975838,99.99679804,-6388.4773754430935
0.0322639,1950.92,0.179311,3.15171e-05,0.0672633,0.0672633,0.0037185167186266506,-0.23307292588908707,99.99684829,-6446.364498372059
0.0350023,1932.59,0.176658,2.71378e-05,0.0698366,0.0698366,0.0030838497406803886,-0.2325842405464491,99.99728622,-6990.036713947018
0.0377403,1912.64,0.17378,2.23742e-05,0.0726285,0.0726285,0.0024447930385454748,-0.23126579599180186,99.99776258,-7551.7810053266585
