radius,temp,h2o,h2,o2,o2_safe,phi,dphi_dr,eta_local,dT_dr
0.00137489,2179.82,0.250464,0.00556717,0.000391926,0.000391926,112.72806887014386,-871.2213918499428,99.44328300000001,-168.520390970985
0.00143423,2179.81,0.250464,0.00556642,0.000392053,0.000392053,112.67637059275148,-898.3040000354064,99.443358,-163.71707676043297
0.00414132,2179.96,0.250432,0.0054797,0.0004068,0.0004068,106.8999488692232,-3198.395342508331,99.45203000000001,244.63879311829805
0.00418173,2179.97,0.250431,0.00547767,0.000407144,0.000407144,106.77005953667498,-3227.7970269499083,99.452233,246.85423734708456
0.00690235,2180.53,0.250361,0.00528814,0.000439378,0.000439378,95.51383783439317,-4791.584232411347,99.471186,1.4610937535762787
0.0069218,2180.53,0.250361,0.00528645,0.000439667,0.000439667,95.42055055303219,-4799.596768524607,99.47135499999999,2.5704308733311336
0.00964909,2181.52,0.250254,0.004996,0.000489152,0.000489152,81.0550830825592,-5505.303382006474,99.5004,1.538721114397049
0.0096607,2181.52,0.250253,0.00499456,0.000489397,0.000489397,80.99115474757713,-5507.610157529093,99.500544,2.196966045690715
0.0123554,2182.9,0.250102,0.00461449,0.000560456,0.000560456,65.34070942232754,-6799.02160594787,99.538551,583.8337843567133
0.0124237,2182.94,0.250096,0.00460385,0.000563181,0.000563181,64.87462041510634,-6842.989001722688,99.539615,582.0577910832399
0.0150313,2184.1,0.249771,0.00416201,0.000731479,0.000731479,45.154695295422016,-7252.26972250198,99.583799,387.3764788750559
0.0152139,2184.17,0.249741,0.00412905,0.000747544,0.000747544,43.83439744015068,-7144.1346380610885,99.587095,386.8468417241602
0.0176999,2185.25,0.249267,0.00365378,0.000999919,0.000999919,28.998746978505263,-5015.067396594692,99.634622,431.2348291547969
0.0180481,2185.4,0.24919,0.00358519,0.00104224,0.00104224,27.298959778937668,-4810.1441355114775,99.641481,409.2865358792915
0.0203912,2186.02,0.248515,0.00312251,0.00144444,0.00144444,17.155603112624963,-3630.7376448827017,99.687749,50.155470666475594
0.0209392,2186.02,0.248316,0.00301747,0.00156971,0.00156971,15.255456052391843,-3278.094635889785,99.69825300000001,-5.529727786779404e-10
0.0231,2186.02,0.247458,0.00261367,0.00211973,0.00211973,9.785248649592166,-2051.7387152757974,99.738633,28.84158292086795
0.0240602,2186.06,0.247018,0.00244311,0.00241755,0.00241755,8.019904845814978,-1659.6705620390997,99.755689,27.430398827651516
0.0254123,2186.07,0.246365,0.00221338,0.00287186,0.00287186,6.116378820694602,-1277.2756805935812,99.778662,-150.64668863615952
0.0271234,2185.47,0.245273,0.00196154,0.00369447,0.00369447,4.213535754790267,-902.8269106451817,99.803846,-166.09185306541622
0.028875,2185.51,0.244134,0.0017309,0.00456768,0.00456768,3.0073083928821633,-568.0485064295051,99.82691,455.8931682414841
0.0302017,2186.55,0.243285,0.001563,0.00522303,0.00522303,2.374860569439578,-419.1894691763972,99.8437,910.7297467726748
0.0319384,2188.42,0.24212,0.0013803,0.00616222,0.00616222,1.77761598904291,-278.5315397807717,99.86197,1023.7578088240698
0.0322639,2188.75,0.241903,0.00135133,0.00634212,0.00634212,1.6909416535795603,-258.0037134442405,99.864867,1036.4713494509342
0.0350023,2192.11,0.240152,0.00115915,0.00782824,0.00782824,1.175106332968841,-150.24955438079058,99.884085,1427.9747229829081
0.0377403,2196.57,0.238475,0.0010177,0.00930378,0.00930378,0.8680844989885832,-93.3513733043601,99.89823,1634.1721767326817
0.0380645,2197.1,0.238271,0.00100229,0.00948573,0.00948573,0.8385409915736587,-88.79136398135509,99.899771,1645.5648414666648
0.0398023,2200.06,0.237239,0.000925922,0.0104081,0.0104081,0.7059998455049433,-62.191219393533174,99.9074078,1689.1542484685779
0.041125,2202.28,0.236606,0.000882556,0.0109795,0.0109795,0.6379128754497019,-55.90770037276698,99.9117444,1343.6305714853806
0.0426492,2203.74,0.235513,0.000823338,0.0119909,0.0119909,0.5449140905186433,-62.461603465680255,99.9176662,581.2771220094291
0.0443259,2204.02,0.233905,0.000743772,0.0134911,0.0134911,0.4375161841510328,-58.19419450559825,99.9256228,-133.1006350563839
0.046048,2203.26,0.23217,0.000662303,0.0151182,0.0151182,0.34766285721845197,-47.326060741133794,99.9337697,-963.3142954158247
0.0480576,2200.1,0.229893,0.000574982,0.0172888,0.0172888,0.263931397899218,-36.35101818028547,99.9425018,-2057.7150597205036
0.0503005,2194.27,0.227229,0.000489758,0.0198602,0.0198602,0.19570394497537785,-26.220008363534745,99.9510242,-3183.308453660924
0.0520485,2187.91,0.225069,0.000430574,0.0219615,0.0219615,0.15559207085126245,-20.88531541326023,99.9569426,-4206.388730637846
0.0535792,2180.71,0.222993,0.00038218,0.0239976,0.0239976,0.12638682534920156,-17.65399046815712,99.961782,-5213.352315427619
0.0549676,2172.83,0.220944,0.000339874,0.0260172,0.0260172,0.10367141982995863,-15.258520938706695,99.9660126,-6194.2411653581075
0.0562531,2164.25,0.218864,0.000301999,0.0280743,0.0280743,0.08536861342936422,-13.380751470409027,99.9698001,-7253.6395615021465
0.0574323,2155.07,0.216736,0.000268231,0.0301867,0.0301867,0.07051718856317517,-12.00003583929151,99.9731769,-8424.273921226966
0.0585559,2144.92,0.21443,0.000236038,0.0324811,0.0324811,0.05767038579358458,-11.273339922199803,99.9763962,-10449.42224596464
0.0598454,2129.35,0.210819,0.000197181,0.0360804,0.0360804,0.043370595004489976,-9.741781851414999,99.9802819,-12899.260053873062
